#num_of_iter: 100
#num_of_exper: 1
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.3
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 2557797826341802628
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
19        0.2283        0.2804        0.0794        0.2233        0.1439        0.0000        0.0000        0.0000        0.0447        0.8865        0.0885        0.0000        0.0000        0.0000        0.0115        0.0096        0.0000        0.0038        0.0098         0.0000         0.0171         0.0049         0.0000         0.0561         0.0244         0.7854         0.1024         
20        0.2074        0.2741        0.0716        0.2444        0.1605        0.0000        0.0000        0.0000        0.0420        0.8936        0.0862        0.0000        0.0000        0.0000        0.0055        0.0110        0.0000        0.0037        0.0092         0.0000         0.0161         0.0046         0.0000         0.0573         0.0229         0.7683         0.1216         
21        0.1961        0.2917        0.0368        0.2402        0.1936        0.0000        0.0000        0.0000        0.0417        0.9152        0.0601        0.0000        0.0000        0.0000        0.0088        0.0124        0.0000        0.0035        0.0092         0.0000         0.0160         0.0046         0.0000         0.0526         0.0252         0.8078         0.0847         
22        0.1760        0.2730        0.0306        0.2704        0.2015        0.0000        0.0000        0.0000        0.0485        0.9227        0.0504        0.0000        0.0000        0.0000        0.0134        0.0101        0.0000        0.0034        0.0116         0.0000         0.0162         0.0046         0.0000         0.0534         0.0232         0.8469         0.0441         
23        0.1603        0.2646        0.0458        0.2697        0.2188        0.0000        0.0000        0.0000        0.0407        0.9341        0.0422        0.0000        0.0000        0.0000        0.0101        0.0101        0.0000        0.0034        0.0090         0.0000         0.0158         0.0045         0.0000         0.0384         0.0271         0.8533         0.0519         
24        0.1250        0.3000        0.0528        0.3222        0.1611        0.0000        0.0000        0.0000        0.0389        0.9317        0.0467        0.0000        0.0000        0.0000        0.0083        0.0100        0.0000        0.0033        0.0086         0.0000         0.0150         0.0043         0.0000         0.0300         0.0278         0.8266         0.0878         
25        0.1250        0.3071        0.0299        0.2908        0.1929        0.0000        0.0000        0.0000        0.0543        0.9342        0.0461        0.0000        0.0000        0.0000        0.0082        0.0082        0.0000        0.0033        0.0082         0.0000         0.0144         0.0041         0.0000         0.0185         0.0287         0.8296         0.0965         
26        0.0928        0.3183        0.0239        0.3236        0.1883        0.0000        0.0000        0.0000        0.0531        0.9318        0.0496        0.0000        0.0000        0.0000        0.0062        0.0093        0.0000        0.0031        0.0081         0.0000         0.0141         0.0040         0.0000         0.0202         0.0303         0.8465         0.0768         
27        0.0782        0.3181        0.0377        0.3342        0.1779        0.0000        0.0000        0.0000        0.0539        0.9216        0.0603        0.0000        0.0000        0.0000        0.0060        0.0090        0.0000        0.0030        0.0078         0.0000         0.0175         0.0019         0.0000         0.0194         0.0214         0.8524         0.0796         
28        0.0831        0.3353        0.0208        0.2671        0.2344        0.0000        0.0000        0.0000        0.0593        0.9343        0.0537        0.0000        0.0000        0.0000        0.0060        0.0030        0.0000        0.0030        0.0037         0.0000         0.0166         0.0000         0.0000         0.0203         0.0277         0.8688         0.0628         
29        0.1051        0.2955        0.0114        0.2585        0.2670        0.0000        0.0000        0.0000        0.0625        0.9264        0.0606        0.0000        0.0000        0.0000        0.0072        0.0029        0.0000        0.0029        0.0072         0.0000         0.0162         0.0000         0.0000         0.0198         0.0234         0.8865         0.0468         
30        0.1276        0.3353        0.0148        0.2255        0.2433        0.0000        0.0000        0.0000        0.0534        0.9349        0.0495        0.0000        0.0000        0.0000        0.0057        0.0085        0.0000        0.0014        0.0066         0.0000         0.0116         0.0000         0.0000         0.0199         0.0182         0.9022         0.0415         
31        0.0988        0.3802        0.0060        0.2275        0.2365        0.0000        0.0000        0.0000        0.0509        0.9360        0.0501        0.0000        0.0000        0.0000        0.0042        0.0070        0.0000        0.0028        0.0065         0.0000         0.0114         0.0000         0.0000         0.0195         0.0179         0.8925         0.0521         
32        0.0942        0.3182        0.0032        0.2825        0.2468        0.0000        0.0000        0.0000        0.0552        0.9356        0.0497        0.0000        0.0000        0.0000        0.0054        0.0067        0.0000        0.0027        0.0064         0.0000         0.0112         0.0000         0.0000         0.0144         0.0175         0.9027         0.0478         
33        0.1037        0.3579        0.0000        0.2107        0.2709        0.0000        0.0000        0.0000        0.0569        0.9398        0.0435        0.0000        0.0000        0.0000        0.0077        0.0064        0.0000        0.0026        0.0062         0.0000         0.0108         0.0000         0.0000         0.0155         0.0186         0.8963         0.0526         
34        0.0882        0.3824        0.0000        0.1601        0.3137        0.0000        0.0000        0.0000        0.0556        0.9527        0.0319        0.0000        0.0000        0.0000        0.0077        0.0064        0.0000        0.0013        0.0106         0.0000         0.0106         0.0000         0.0000         0.0121         0.0182         0.8907         0.0577         
35        0.0764        0.4186        0.0000        0.1229        0.3156        0.0000        0.0000        0.0000        0.0664        0.9534        0.0327        0.0000        0.0000        0.0000        0.0076        0.0038        0.0000        0.0025        0.0089         0.0000         0.0104         0.0000         0.0000         0.0119         0.0163         0.9006         0.0519         
36        0.0588        0.4559        0.0000        0.1103        0.3051        0.0000        0.0000        0.0000        0.0699        0.9527        0.0327        0.0000        0.0000        0.0000        0.0097        0.0024        0.0000        0.0024        0.0142         0.0000         0.0100         0.0000         0.0000         0.0171         0.0156         0.8990         0.0441         
37        0.0536        0.4929        0.0000        0.0714        0.3250        0.0000        0.0000        0.0000        0.0571        0.9467        0.0387        0.0000        0.0000        0.0000        0.0048        0.0073        0.0000        0.0024        0.0087         0.0000         0.0101         0.0000         0.0000         0.0188         0.0145         0.9058         0.0420         
38        0.0573        0.5153        0.0000        0.0458        0.3168        0.0000        0.0000        0.0000        0.0649        0.9379        0.0468        0.0000        0.0000        0.0000        0.0070        0.0059        0.0000        0.0023        0.0029         0.0000         0.0101         0.0000         0.0000         0.0216         0.0101         0.9237         0.0317         
39        0.0483        0.5613        0.0000        0.0372        0.2900        0.0000        0.0000        0.0000        0.0632        0.9406        0.0426        0.0000        0.0000        0.0000        0.0090        0.0056        0.0000        0.0022        0.0000         0.0000         0.0101         0.0000         0.0000         0.0187         0.0129         0.9324         0.0259         
40        0.0536        0.5321        0.0000        0.0393        0.3036        0.0000        0.0000        0.0000        0.0714        0.9428        0.0435        0.0000        0.0000        0.0000        0.0080        0.0034        0.0000        0.0023        0.0000         0.0000         0.0098         0.0000         0.0000         0.0182         0.0098         0.9341         0.0281         
41        0.0534        0.5191        0.0000        0.0496        0.3130        0.0000        0.0000        0.0000        0.0649        0.9430        0.0427        0.0000        0.0000        0.0000        0.0055        0.0066        0.0000        0.0022        0.0000         0.0000         0.0096         0.0000         0.0000         0.0179         0.0069         0.9381         0.0275         
42        0.0462        0.5192        0.0000        0.0462        0.3154        0.0000        0.0000        0.0000        0.0731        0.9443        0.0439        0.0000        0.0000        0.0000        0.0064        0.0032        0.0000        0.0021        0.0000         0.0000         0.0095         0.0000         0.0000         0.0177         0.0054         0.9482         0.0191         
43        0.0391        0.5469        0.0000        0.0391        0.3008        0.0000        0.0000        0.0000        0.0742        0.9416        0.0414        0.0000        0.0000        0.0000        0.0085        0.0053        0.0000        0.0032        0.0000         0.0000         0.0107         0.0000         0.0000         0.0160         0.0067         0.9401         0.0266         
44        0.0494        0.5267        0.0000        0.0453        0.3045        0.0000        0.0000        0.0000        0.0741        0.9487        0.0364        0.0000        0.0000        0.0000        0.0075        0.0053        0.0000        0.0021        0.0000         0.0000         0.0093         0.0000         0.0000         0.0160         0.0067         0.9454         0.0226         
45        0.0596        0.4936        0.0000        0.0723        0.2979        0.0000        0.0000        0.0000        0.0766        0.9372        0.0481        0.0000        0.0000        0.0000        0.0052        0.0052        0.0000        0.0042        0.0000         0.0000         0.0093         0.0000         0.0000         0.0212         0.0053         0.9470         0.0172         
46        0.0509        0.5324        0.0000        0.0370        0.3009        0.0000        0.0000        0.0000        0.0787        0.9376        0.0458        0.0000        0.0000        0.0000        0.0042        0.0104        0.0000        0.0021        0.0000         0.0000         0.0091         0.0000         0.0000         0.0208         0.0065         0.9494         0.0143         
