#num_of_iter: 100
#num_of_exper: 1
#rows: 53
#cols: 53
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 1205451906834191397
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
80        0.0000        0.0000        0.3265        0.3673        0.0000        0.2245        0.0816        0.0000        0.0000        0.9971        0.0000        0.0000        0.0000        0.0000        0.0029        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7156         0.2844         
81        0.0000        0.0000        0.2952        0.3714        0.0000        0.2571        0.0762        0.0000        0.0000        0.9971        0.0000        0.0000        0.0000        0.0000        0.0029        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7296         0.2704         
82        0.0000        0.0000        0.2437        0.3782        0.0000        0.3109        0.0672        0.0000        0.0000        0.9971        0.0000        0.0000        0.0000        0.0000        0.0029        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7354         0.2646         
83        0.0000        0.0000        0.2793        0.3514        0.0000        0.2973        0.0721        0.0000        0.0000        0.9971        0.0000        0.0000        0.0000        0.0000        0.0029        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7257         0.2743         
84        0.0000        0.0000        0.2826        0.3804        0.0000        0.2500        0.0870        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7354         0.2646         
85        0.0000        0.0000        0.2840        0.4444        0.0000        0.1728        0.0988        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7367         0.2633         
86        0.0000        0.0000        0.3478        0.4239        0.0000        0.1413        0.0870        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7400         0.2600         
87        0.0000        0.0000        0.2840        0.4815        0.0000        0.1358        0.0988        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7388         0.2612         
88        0.0000        0.0000        0.2105        0.5263        0.0000        0.1579        0.1053        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7415         0.2585         
89        0.0000        0.0000        0.2059        0.5000        0.0000        0.1765        0.1176        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7264         0.2736         
90        0.0000        0.0000        0.1940        0.4776        0.0000        0.2090        0.1194        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7353         0.2647         
91        0.0000        0.0000        0.2353        0.4706        0.0000        0.1765        0.1176        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7366         0.2634         
92        0.0000        0.0000        0.1972        0.4507        0.0000        0.2394        0.1127        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7467         0.2533         
93        0.0000        0.0000        0.2464        0.4638        0.0000        0.1739        0.1159        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7351         0.2649         
94        0.0000        0.0000        0.2113        0.4507        0.0000        0.2254        0.1127        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7395         0.2605         
95        0.0000        0.0000        0.2027        0.4324        0.0000        0.2568        0.1081        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7487         0.2513         
96        0.0000        0.0000        0.1618        0.4706        0.0000        0.2500        0.1176        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7513         0.2487         
97        0.0000        0.0000        0.1688        0.4156        0.0000        0.3117        0.1039        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7599         0.2401         
98        0.0000        0.0000        0.1081        0.4595        0.0000        0.3243        0.1081        0.0000        0.0000        0.9972        0.0000        0.0000        0.0000        0.0000        0.0028        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7606         0.2394         
99        0.0000        0.0000        0.1067        0.4400        0.0000        0.3467        0.1067        0.0000        0.0000        0.9973        0.0000        0.0000        0.0000        0.0000        0.0027        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.7661         0.2339         
