#num_of_iter: 100
#num_of_exper: 1
#rows: 53
#cols: 53
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 1205451906834191397
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
19        0.1593        0.0000        0.3607        0.1546        0.2014        0.0843        0.0094        0.0164        0.0141        0.8089        0.0497        0.0157        0.0340        0.0026        0.0654        0.0236        0.0000        0.0000        0.0000         0.0062         0.0186         0.0062         0.0000         0.0000         0.0652         0.3043         0.5994         
20        0.2041        0.0000        0.3393        0.1429        0.2092        0.0663        0.0102        0.0153        0.0128        0.8478        0.0420        0.0131        0.0262        0.0026        0.0525        0.0157        0.0000        0.0000        0.0000         0.0057         0.0172         0.0029         0.0000         0.0000         0.0659         0.2923         0.6160         
21        0.2354        0.0000        0.3063        0.1190        0.2329        0.0684        0.0101        0.0127        0.0152        0.8467        0.0259        0.0094        0.0330        0.0142        0.0637        0.0071        0.0000        0.0000        0.0000         0.0053         0.0160         0.0053         0.0000         0.0000         0.0507         0.3067         0.6160         
22        0.2465        0.0000        0.3657        0.0886        0.2078        0.0526        0.0111        0.0166        0.0111        0.8457        0.0457        0.0087        0.0261        0.0130        0.0565        0.0043        0.0000        0.0000        0.0000         0.0051         0.0152         0.0051         0.0000         0.0000         0.0505         0.3232         0.6010         
23        0.2418        0.0000        0.3886        0.0951        0.2092        0.0380        0.0109        0.0082        0.0082        0.8677        0.0412        0.0065        0.0195        0.0108        0.0521        0.0022        0.0000        0.0000        0.0000         0.0051         0.0153         0.0051         0.0000         0.0000         0.0560         0.3333         0.5852         
24        0.2158        0.0000        0.3895        0.1026        0.2342        0.0316        0.0105        0.0079        0.0079        0.8886        0.0197        0.0044        0.0262        0.0044        0.0524        0.0044        0.0000        0.0000        0.0000         0.0050         0.0150         0.0050         0.0000         0.0000         0.0525         0.3350         0.5875         
25        0.2104        0.0000        0.4052        0.1039        0.2182        0.0364        0.0104        0.0104        0.0052        0.9129        0.0000        0.0021        0.0249        0.0062        0.0498        0.0041        0.0000        0.0000        0.0000         0.0052         0.0155         0.0103         0.0000         0.0000         0.0543         0.3643         0.5504         
26        0.1981        0.0000        0.3915        0.0991        0.2547        0.0354        0.0094        0.0071        0.0047        0.9271        0.0000        0.0021        0.0146        0.0021        0.0500        0.0042        0.0000        0.0000        0.0000         0.0050         0.0151         0.0101         0.0000         0.0000         0.0528         0.3643         0.5528         
27        0.1907        0.0000        0.4093        0.0767        0.2767        0.0279        0.0093        0.0047        0.0047        0.9228        0.0000        0.0000        0.0193        0.0077        0.0463        0.0039        0.0000        0.0000        0.0000         0.0048         0.0144         0.0096         0.0000         0.0000         0.0478         0.3900         0.5335         
28        0.1887        0.0000        0.3915        0.0896        0.2830        0.0307        0.0094        0.0047        0.0024        0.9322        0.0000        0.0000        0.0169        0.0019        0.0452        0.0038        0.0000        0.0000        0.0000         0.0047         0.0117         0.0023         0.0000         0.0000         0.0514         0.3855         0.5444         
29        0.1911        0.0000        0.4241        0.0733        0.2618        0.0288        0.0105        0.0052        0.0052        0.9278        0.0000        0.0000        0.0235        0.0036        0.0433        0.0018        0.0000        0.0000        0.0000         0.0044         0.0109         0.0000         0.0000         0.0000         0.0502         0.3799         0.5546         
30        0.1626        0.0000        0.4417        0.0894        0.2602        0.0244        0.0108        0.0054        0.0054        0.9371        0.0000        0.0000        0.0157        0.0017        0.0420        0.0035        0.0000        0.0000        0.0000         0.0047         0.0140         0.0000         0.0000         0.0000         0.0628         0.3837         0.5349         
31        0.1599        0.0000        0.4363        0.0867        0.2818        0.0163        0.0108        0.0027        0.0054        0.9360        0.0000        0.0000        0.0242        0.0000        0.0398        0.0000        0.0000        0.0000        0.0000         0.0046         0.0138         0.0000         0.0000         0.0000         0.0484         0.4078         0.5253         
32        0.1667        0.0000        0.3821        0.1026        0.3128        0.0179        0.0077        0.0051        0.0051        0.9362        0.0000        0.0000        0.0235        0.0000        0.0403        0.0000        0.0000        0.0000        0.0000         0.0044         0.0111         0.0000         0.0000         0.0000         0.0422         0.4311         0.5111         
