#num_of_iter: 100
#num_of_exper: 1
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.3
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 2557797826341802628
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          optim_solut          
40        0.1953       0.6760            0.4471          0.0065          0.2757          0.1077        0.3360        0.2741         0.7820              0.0769                    0.1476           0.0327           0.26                 
41        0.2007       0.6982            0.4667          0.0062          0.2626          0.1007        0.3510        0.2795         0.7793              0.0738                    0.1353           0.0285           0.26                 
42        0.1976       0.6893            0.4581          0.0054          0.2534          0.1000        0.3591        0.2822         0.7712              0.0634                    0.1319           0.0273           0.26                 
43        0.2003       0.6953            0.4635          0.0050          0.2461          0.0984        0.3618        0.2887         0.7770              0.0596                    0.1253           0.0319           0.26                 
44        0.1988       0.7115            0.4762          0.0042          0.2541          0.0934        0.3595        0.2887         0.7697              0.0523                    0.1319           0.0231           0.26                 
45        0.2049       0.6938            0.4743          0.0038          0.2480          0.0903        0.3676        0.2903         0.7659              0.0623                    0.1123           0.0346           0.26                 
46        0.2034       0.7012            0.4727          0.0046          0.2464          0.0830        0.3695        0.2964         0.7612              0.0681                    0.1180           0.0300           0.26                 
47        0.2072       0.7160            0.4835          0.0035          0.2411          0.0780        0.3810        0.2964         0.7586              0.0723                    0.1053           0.0334           0.26                 
48        0.2030       0.6967            0.4761          0.0046          0.2341          0.0777        0.3822        0.3014         0.7593              0.0784                    0.1150           0.0338           0.26                 
49        0.2095       0.7160            0.4893          0.0050          0.2180          0.0692        0.3945        0.3133         0.7551              0.0788                    0.1015           0.0334           0.26                 
50        0.2107       0.7086            0.4869          0.0046          0.2180          0.0650        0.3968        0.3156         0.7555              0.0673                    0.1050           0.0400           0.26                 
51        0.2107       0.7115            0.4972          0.0050          0.2130          0.0623        0.4056        0.3141         0.7682              0.0665                    0.0996           0.0373           0.26                 
52        0.2076       0.7160            0.4956          0.0058          0.2080          0.0554        0.4091        0.3218         0.7616              0.0696                    0.0957           0.0350           0.26                 
53        0.2122       0.7367            0.5078          0.0062          0.1938          0.0627        0.4195        0.3180         0.7612              0.0696                    0.0827           0.0315           0.26                 
54        0.2099       0.7337            0.5002          0.0065          0.1949          0.0573        0.4145        0.3268         0.7601              0.0646                    0.0819           0.0300           0.26                 
55        0.2080       0.7175            0.4951          0.0069          0.1892          0.0519        0.4245        0.3276         0.7593              0.0565                    0.0850           0.0334           0.26                 
56        0.2092       0.7396            0.5040          0.0073          0.1888          0.0442        0.4275        0.3322         0.7543              0.0427                    0.0707           0.0296           0.26                 
57        0.2145       0.7382            0.5085          0.0073          0.1853          0.0408        0.4302        0.3364         0.7459              0.0404                    0.0638           0.0342           0.26                 
58        0.2115       0.7441            0.5143          0.0065          0.1869          0.0438        0.4241        0.3387         0.7455              0.0438                    0.0719           0.0261           0.26                 
