#num_of_iter: 100
#num_of_exper: 1
#rows: 53
#cols: 53
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 1205451906834191397
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          
43        0.1899       0.6361            0.4420          0.0085          0.3749          0.0819        0.3110        0.2238         0.7643              0.0873                    0.0738           0.0000           
44        0.1915       0.6346            0.4410          0.0073          0.3810          0.0788        0.3156        0.2172         0.7624              0.0919                    0.0746           0.0000           
45        0.1942       0.6494            0.4562          0.0065          0.3818          0.0692        0.3245        0.2180         0.7670              0.0892                    0.0596           0.0000           
46        0.1926       0.6583            0.4547          0.0062          0.3760          0.0642        0.3291        0.2245         0.7620              0.0815                    0.0592           0.0000           
47        0.1984       0.6657            0.4715          0.0062          0.3564          0.0611        0.3406        0.2357         0.7612              0.0815                    0.0638           0.0000           
48        0.1972       0.6686            0.4765          0.0062          0.3410          0.0631        0.3460        0.2438         0.7512              0.0734                    0.0665           0.0000           
49        0.2018       0.6864            0.4832          0.0062          0.3249          0.0657        0.3537        0.2495         0.7505              0.0669                    0.0527           0.0000           
50        0.2026       0.6775            0.4756          0.0062          0.3145          0.0638        0.3641        0.2514         0.7497              0.0646                    0.0465           0.0000           
51        0.2034       0.6938            0.4818          0.0062          0.2933          0.0661        0.3725        0.2618         0.7547              0.0738                    0.0419           0.0000           
52        0.1968       0.6820            0.4829          0.0062          0.2860          0.0638        0.3795        0.2645         0.7451              0.0692                    0.0677           0.0000           
53        0.2018       0.6953            0.4953          0.0058          0.2807          0.0623        0.3910        0.2603         0.7463              0.0627                    0.0561           0.0000           
