#num_of_iter: 100
#num_of_exper: 11
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 4526043691492536851
#iter         f_C          f_C_corr        av_sum      f_allC      f_allD        f_kD        f_kC        f_kDC       f_strat_ch      f_0D        f_1D        f_2D        f_3D        f_4D        f_5D        f_6D        f_7D        f_8D        f_0C        f_1C        f_2C        f_3C        f_4C        f_5C        f_6C        f_7C        f_8C        f_0DC       f_1DC       f_2DC       f_3DC       f_4DC        f_5DC       f_6DC       f_7DC       f_8DC
71             0.2224        0.1987          0.5637           0.0037      0.1283        0.0408      0.0058      0.8213      1.0             0.9184      0.0      0.0816      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8571      0.0      0.1429      0.0046      0.0      0.0056      0.0      0.0       0.0      0.0076      0.8758      0.1065
72             0.2162        0.1966          0.5592           0.0037      0.1341        0.0358      0.0042      0.8222      1.0             0.9419      0.0      0.0581      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0046      0.0      0.0056      0.0      0.0       0.0      0.0076      0.8769      0.1054
73             0.2137        0.1958          0.557           0.0033      0.1358        0.0342      0.0042      0.8226      1.0             0.9756      0.0      0.0244      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0046      0.0      0.0051      0.0      0.0       0.0      0.0076      0.8841      0.0987
74             0.2157        0.1978          0.5661           0.0033      0.1299        0.0312      0.0042      0.8313      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0045      0.0      0.005      0.0      0.0       0.0      0.0075      0.8883      0.0947
75             0.2191        0.1987          0.5694           0.0033      0.1341        0.0279      0.0042      0.8305      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0045      0.0      0.004      0.0      0.0       0.0      0.0075      0.8927      0.0913
76             0.2187        0.202          0.5726           0.0033      0.1358        0.0296      0.0042      0.8272      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0045      0.0      0.0035      0.0      0.0       0.0      0.0076      0.8988      0.0856
77             0.217        0.1987          0.5668           0.0033      0.1291        0.0287      0.0037      0.8351      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0045      0.0      0.0035      0.0      0.0       0.0      0.0075      0.8988      0.0858
78             0.2195        0.2024          0.5694           0.0033      0.1245        0.0279      0.0037      0.8405      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0045      0.0      0.0035      0.0      0.0       0.0      0.0069      0.9044      0.0808
79             0.2149        0.1987          0.5684           0.0033      0.1241        0.0287      0.0037      0.8401      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0045      0.0      0.0035      0.0      0.0       0.0      0.0074      0.8979      0.0868
80             0.2195        0.1999          0.5702           0.0033      0.1291        0.0279      0.0054      0.8342      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8462      0.0      0.1538      0.0045      0.0      0.003      0.0      0.0       0.0      0.0075      0.9026      0.0824
81             0.2162        0.1991          0.5705           0.0033      0.1224        0.0254      0.0042      0.8446      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0044      0.0      0.0049      0.0      0.0       0.0      0.0074      0.8984      0.0848
82             0.2162        0.1999          0.5701           0.0033      0.1158        0.0242      0.0042      0.8526      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0044      0.0      0.0029      0.0      0.0       0.0      0.0073      0.8984      0.087
83             0.2187        0.2016          0.5778           0.0033      0.1141        0.025      0.0042      0.8534      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0044      0.0      0.0029      0.0      0.0       0.0      0.0073      0.8946      0.0908
84             0.2199        0.2007          0.5748           0.0033      0.1154        0.0237      0.0042      0.8534      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0044      0.0      0.0049      0.0      0.0       0.0      0.0068      0.9009      0.083
85             0.2166        0.2003          0.5765           0.0033      0.1112        0.0233      0.0042      0.858      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0044      0.0      0.0029      0.0      0.0       0.0      0.0073      0.9015      0.084
86             0.2191        0.1999          0.5779           0.0033      0.1154        0.0246      0.0042      0.8526      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0044      0.0      0.0049      0.0      0.0       0.0      0.0073      0.9018      0.0816
87             0.2207        0.2032          0.585           0.0033      0.11        0.0254      0.0042      0.8571      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8      0.0      0.2      0.0044      0.0      0.0029      0.0      0.0       0.0      0.0073      0.9043      0.0811
88             0.2199        0.2037          0.5876           0.0033      0.1045        0.0258      0.0037      0.8626      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0043      0.0      0.0024      0.0      0.0       0.0      0.0072      0.9049      0.0811
89             0.2174        0.2024          0.5838           0.0033      0.1033        0.0258      0.0033      0.8642      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.75      0.0      0.25      0.0043      0.0      0.0024      0.0      0.0       0.0      0.0072      0.9075      0.0786
90             0.2182        0.2032          0.5873           0.0033      0.0983        0.0237      0.0033      0.8713      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.75      0.0      0.25      0.0043      0.0      0.0024      0.0      0.0       0.0      0.0072      0.9116      0.0746
91             0.2228        0.2053          0.5951           0.0033      0.0958        0.0246      0.005      0.8713      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.8333      0.0      0.1667      0.0043      0.0      0.0024      0.0      0.0       0.0      0.0072      0.9111      0.075
92             0.2195        0.202          0.5944           0.0033      0.1004        0.0187      0.0037      0.8738      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0043      0.0      0.0024      0.0      0.0       0.0      0.0071      0.9099      0.0763
93             0.2203        0.2032          0.593           0.0033      0.0933        0.0217      0.0037      0.878      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0038      0.0      0.0047      0.0      0.0       0.0      0.0071      0.9118      0.0726
94             0.2228        0.2045          0.5922           0.0033      0.0883        0.0217      0.0037      0.883      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0038      0.0      0.0033      0.0      0.0       0.0      0.0071      0.9142      0.0717
95             0.2228        0.2066          0.5988           0.0033      0.0883        0.02      0.0037      0.8846      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0038      0.0      0.0024      0.0      0.0       0.0      0.0071      0.9143      0.0725
96             0.2207        0.2057          0.5963           0.0033      0.0916        0.0179      0.0037      0.8834      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0038      0.0      0.0024      0.0      0.0       0.0      0.0071      0.9109      0.0759
97             0.222        0.2057          0.5988           0.0033      0.0904        0.0175      0.0037      0.885      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.7778      0.0      0.2222      0.0038      0.0      0.0024      0.0      0.0       0.0      0.0071      0.9106      0.0762
98             0.2216        0.2053          0.5984           0.0033      0.0862        0.0204      0.0033      0.8867      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.75      0.0      0.25      0.0038      0.0      0.0019      0.0      0.0       0.0      0.007      0.914      0.0733
99             0.2228        0.207          0.5984           0.0033      0.0908        0.02      0.0033      0.8825      1.0             1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.75      0.0      0.25      0.0038      0.0      0.0019      0.0      0.0       0.0      0.0071      0.9212      0.0661
