#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
79        0.2860        0.0453        0.2572        0.0432        0.3519        0.0103        0.0000        0.0021        0.0041        0.1667        0.4167        0.0000        0.0000        0.0000        0.0000        0.0833        0.0000        0.3333        0.0000         0.0000         0.0060         0.0120         0.0015         0.0000         0.0527         0.7395         0.1883         
80        0.2915        0.0596        0.2362        0.0149        0.3787        0.0128        0.0000        0.0021        0.0043        0.1818        0.3636        0.0000        0.0000        0.0000        0.0000        0.0909        0.0000        0.3636        0.0000         0.0000         0.0059         0.0161         0.0015         0.0000         0.0484         0.7361         0.1921         
81        0.2455        0.0463        0.2777        0.0282        0.3843        0.0121        0.0000        0.0020        0.0040        0.1111        0.3333        0.0000        0.0000        0.0000        0.0000        0.1111        0.0000        0.4444        0.0000         0.0000         0.0057         0.0086         0.0014         0.0000         0.0546         0.7155         0.2141         
82        0.2476        0.0292        0.2807        0.0156        0.3996        0.0214        0.0000        0.0019        0.0039        0.2222        0.2222        0.0000        0.0000        0.0000        0.0000        0.1111        0.0000        0.4444        0.0000         0.0000         0.0060         0.0120         0.0015         0.0000         0.0480         0.7538         0.1787         
83        0.2489        0.0464        0.2954        0.0063        0.3671        0.0295        0.0000        0.0021        0.0042        0.5000        0.1429        0.0000        0.0000        0.0000        0.0000        0.0714        0.0000        0.2857        0.0000         0.0000         0.0060         0.0075         0.0015         0.0000         0.0627         0.7642         0.1582         
84        0.2805        0.0467        0.2846        0.0061        0.3211        0.0549        0.0000        0.0020        0.0041        0.4167        0.1667        0.0000        0.0000        0.0000        0.0000        0.0833        0.0000        0.3333        0.0000         0.0000         0.0059         0.0074         0.0015         0.0000         0.0415         0.7849         0.1588         
85        0.2669        0.0398        0.2689        0.0040        0.3606        0.0538        0.0000        0.0020        0.0040        0.5000        0.2222        0.0000        0.0000        0.0000        0.0000        0.0556        0.0000        0.2222        0.0000         0.0000         0.0029         0.0043         0.0014         0.0000         0.0579         0.7656         0.1679         
86        0.2972        0.0341        0.2831        0.0000        0.3153        0.0643        0.0000        0.0020        0.0040        0.5000        0.1875        0.0000        0.0000        0.0000        0.0000        0.0625        0.0000        0.2500        0.0000         0.0000         0.0058         0.0101         0.0014         0.0000         0.0535         0.7803         0.1488         
87        0.3100        0.0380        0.2380        0.0000        0.3620        0.0460        0.0000        0.0020        0.0040        0.4615        0.1538        0.0000        0.0000        0.0000        0.0000        0.0769        0.0000        0.3077        0.0000         0.0000         0.0055         0.0083         0.0014         0.0000         0.0581         0.7593         0.1674         
88        0.3289        0.0435        0.2250        0.0000        0.3781        0.0189        0.0000        0.0019        0.0038        0.5000        0.0833        0.0000        0.0000        0.0000        0.0000        0.0833        0.0000        0.3333        0.0000         0.0000         0.0052         0.0066         0.0013         0.0000         0.0486         0.7598         0.1785         
89        0.3392        0.0487        0.2086        0.0000        0.3684        0.0292        0.0000        0.0019        0.0039        0.5000        0.0833        0.0000        0.0000        0.0000        0.0000        0.0833        0.0000        0.3333        0.0000         0.0000         0.0053         0.0040         0.0013         0.0000         0.0530         0.7881         0.1483         
90        0.3422        0.0492        0.2090        0.0000        0.3607        0.0328        0.0000        0.0020        0.0041        0.6000        0.0667        0.0000        0.0000        0.0000        0.0000        0.0667        0.0000        0.2667        0.0000         0.0000         0.0027         0.0013         0.0013         0.0000         0.0466         0.8202         0.1278         
91        0.3012        0.0471        0.2316        0.0000        0.3668        0.0471        0.0000        0.0020        0.0041        0.6250        0.0625        0.0000        0.0000        0.0000        0.0000        0.0625        0.0000        0.2500        0.0000         0.0000         0.0052         0.0000         0.0013         0.0000         0.0469         0.8162         0.1304         
92        0.2955        0.0607        0.2328        0.0000        0.3502        0.0547        0.0000        0.0020        0.0040        0.5000        0.0833        0.0000        0.0000        0.0000        0.0000        0.0833        0.0000        0.3333        0.0000         0.0000         0.0053         0.0000         0.0013         0.0000         0.0401         0.8476         0.1056         
93        0.2958        0.0744        0.2314        0.0000        0.3219        0.0704        0.0000        0.0020        0.0040        0.4000        0.1000        0.0000        0.0000        0.0000        0.0000        0.1000        0.0000        0.4000        0.0000         0.0000         0.0053         0.0000         0.0013         0.0000         0.0423         0.8466         0.1045         
94        0.3012        0.0743        0.2470        0.0000        0.2972        0.0743        0.0000        0.0020        0.0040        0.3333        0.1111        0.0000        0.0000        0.0000        0.0000        0.1111        0.0000        0.4444        0.0000         0.0000         0.0052         0.0000         0.0013         0.0000         0.0456         0.8464         0.1016         
95        0.3458        0.0672        0.2510        0.0000        0.2648        0.0652        0.0000        0.0020        0.0040        0.4000        0.1000        0.0000        0.0000        0.0000        0.0000        0.1000        0.0000        0.4000        0.0000         0.0000         0.0052         0.0000         0.0013         0.0000         0.0523         0.8601         0.0810         
96        0.3378        0.0676        0.2664        0.0000        0.2606        0.0618        0.0000        0.0019        0.0039        0.4000        0.1000        0.0000        0.0000        0.0000        0.0000        0.1000        0.0000        0.4000        0.0000         0.0000         0.0052         0.0000         0.0013         0.0000         0.0454         0.8612         0.0869         
97        0.3274        0.0605        0.2562        0.0000        0.2972        0.0534        0.0000        0.0018        0.0036        0.4545        0.0909        0.0000        0.0000        0.0000        0.0000        0.0909        0.0000        0.3636        0.0000         0.0000         0.0051         0.0000         0.0013         0.0000         0.0506         0.8557         0.0873         
98        0.3163        0.0640        0.2614        0.0000        0.2962        0.0567        0.0000        0.0018        0.0037        0.6250        0.0625        0.0000        0.0000        0.0000        0.0000        0.0625        0.0000        0.2500        0.0000         0.0000         0.0024         0.0000         0.0012         0.0000         0.0450         0.8530         0.0984         
99        0.3202        0.0674        0.2678        0.0000        0.2715        0.0674        0.0000        0.0019        0.0037        0.5714        0.0714        0.0000        0.0000        0.0000        0.0000        0.0714        0.0000        0.2857        0.0000         0.0000         0.0047         0.0000         0.0012         0.0000         0.0560         0.8296         0.1085         
