#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
19        0.2214        0.1500        0.1429        0.2232        0.1607        0.0804        0.0125        0.0054        0.0036        0.0667        0.4167        0.1667        0.0000        0.0000        0.0500        0.1500        0.0333        0.1167        0.0085         0.0170         0.0213         0.0979         0.0766         0.0766         0.2085         0.2511         0.2426         
20        0.2345        0.1599        0.1368        0.2291        0.1599        0.0604        0.0107        0.0053        0.0036        0.0784        0.4510        0.1176        0.0000        0.0000        0.0588        0.1373        0.0196        0.1373        0.0088         0.0133         0.0221         0.0973         0.0929         0.0487         0.1991         0.2566         0.2611         
21        0.2105        0.1974        0.1410        0.2406        0.1316        0.0583        0.0094        0.0075        0.0038        0.0769        0.5192        0.0769        0.0000        0.0000        0.0577        0.1538        0.0000        0.1154        0.0049         0.0197         0.0246         0.1034         0.0837         0.0591         0.1478         0.3054         0.2512         
22        0.2611        0.2037        0.1333        0.2407        0.0963        0.0444        0.0093        0.0074        0.0037        0.0417        0.5625        0.1042        0.0000        0.0000        0.0417        0.1250        0.0000        0.1250        0.0052         0.0207         0.0207         0.0933         0.1036         0.0518         0.1554         0.3316         0.2176         
23        0.2262        0.1869        0.1477        0.2542        0.1402        0.0224        0.0112        0.0075        0.0037        0.0435        0.5652        0.0870        0.0000        0.0000        0.0435        0.1087        0.0000        0.1522        0.0107         0.0214         0.0214         0.1070         0.0588         0.0642         0.1337         0.3850         0.1979         
24        0.2195        0.1905        0.1304        0.2712        0.1553        0.0124        0.0124        0.0041        0.0041        0.0408        0.5102        0.1633        0.0000        0.0000        0.0408        0.1020        0.0000        0.1429        0.0112         0.0168         0.0223         0.0838         0.0726         0.0391         0.1341         0.4190         0.2011         
25        0.2261        0.2066        0.1248        0.2456        0.1637        0.0156        0.0117        0.0019        0.0039        0.0408        0.5510        0.1224        0.0000        0.0000        0.0408        0.1020        0.0000        0.1429        0.0054         0.0161         0.0215         0.1129         0.0269         0.0430         0.1398         0.4247         0.2097         
26        0.2406        0.2048        0.1272        0.2684        0.1193        0.0199        0.0119        0.0040        0.0040        0.0392        0.5490        0.1569        0.0000        0.0000        0.0392        0.0784        0.0000        0.1373        0.0102         0.0203         0.0203         0.0964         0.0254         0.0406         0.1523         0.4315         0.2030         
27        0.2242        0.1616        0.1576        0.2606        0.1455        0.0323        0.0101        0.0040        0.0040        0.0385        0.5385        0.1731        0.0000        0.0000        0.0385        0.0769        0.0000        0.1346        0.0096         0.0192         0.0192         0.0913         0.0144         0.0385         0.1442         0.3942         0.2692         
28        0.2148        0.1934        0.1406        0.2383        0.1660        0.0273        0.0117        0.0039        0.0039        0.0377        0.4717        0.2453        0.0000        0.0000        0.0189        0.0943        0.0000        0.1321        0.0104         0.0208         0.0208         0.0938         0.0052         0.0260         0.1458         0.4167         0.2604         
