#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          
43        0.1688       0.5059            0.3403          0.0104          0.6092          0.2064        0.0144        0.1596         0.7908              0.1200                    0.1120           0.0000           
44        0.1692       0.5296            0.3474          0.0092          0.5948          0.2136        0.0116        0.1708         0.7860              0.1272                    0.0988           0.0004           
45        0.1768       0.5266            0.3587          0.0120          0.5976          0.2156        0.0128        0.1620         0.7948              0.1260                    0.1048           0.0000           
46        0.1664       0.5251            0.3532          0.0096          0.5888          0.2208        0.0120        0.1688         0.7980              0.1244                    0.1124           0.0000           
47        0.1712       0.5222            0.3501          0.0108          0.5720          0.2372        0.0120        0.1680         0.7984              0.1112                    0.1008           0.0000           
48        0.1772       0.5399            0.3640          0.0116          0.5772          0.2272        0.0140        0.1700         0.7980              0.1084                    0.0792           0.0004           
49        0.1760       0.5399            0.3611          0.0100          0.5880          0.2172        0.0144        0.1704         0.7948              0.1348                    0.0884           0.0000           
50        0.1700       0.5414            0.3695          0.0096          0.6056          0.1984        0.0156        0.1708         0.7868              0.1184                    0.0924           0.0000           
51        0.1608       0.4837            0.3361          0.0096          0.5988          0.1988        0.0144        0.1784         0.7940              0.1156                    0.1516           0.0000           
52        0.1660       0.5325            0.3495          0.0080          0.5776          0.2060        0.0116        0.1968         0.8008              0.1240                    0.1020           0.0000           
53        0.1656       0.5118            0.3464          0.0084          0.5668          0.2208        0.0136        0.1904         0.7936              0.1112                    0.1124           0.0000           
54        0.1736       0.5607            0.3672          0.0072          0.5564          0.2272        0.0096        0.1996         0.7868              0.1052                    0.0884           0.0000           
55        0.1688       0.5385            0.3602          0.0088          0.5560          0.2264        0.0084        0.2004         0.7852              0.1216                    0.0968           0.0000           
56        0.1656       0.5192            0.3478          0.0088          0.5596          0.2240        0.0084        0.1992         0.7884              0.1056                    0.1104           0.0000           
57        0.1756       0.5577            0.3706          0.0088          0.5668          0.2204        0.0088        0.1952         0.7880              0.1204                    0.0856           0.0000           
58        0.1716       0.5444            0.3626          0.0080          0.5528          0.2324        0.0076        0.1992         0.7892              0.1144                    0.0840           0.0000           
59        0.1696       0.5340            0.3599          0.0076          0.5568          0.2340        0.0092        0.1924         0.7860              0.1212                    0.0988           0.0000           
60        0.1660       0.5325            0.3557          0.0076          0.5560          0.2328        0.0092        0.1944         0.8080              0.1332                    0.0964           0.0000           
61        0.1804       0.5651            0.3874          0.0092          0.5560          0.2216        0.0108        0.2024         0.7924              0.1192                    0.0804           0.0000           
62        0.1740       0.5503            0.3755          0.0088          0.5544          0.2212        0.0084        0.2072         0.7892              0.1248                    0.0880           0.0000           
63        0.1724       0.5399            0.3661          0.0088          0.5712          0.2128        0.0088        0.1984         0.7888              0.1164                    0.0904           0.0000           
64        0.1660       0.5281            0.3635          0.0080          0.5764          0.2008        0.0064        0.2084         0.7940              0.1132                    0.1152           0.0000           
65        0.1676       0.5163            0.3499          0.0076          0.5756          0.2000        0.0088        0.2080         0.7880              0.1112                    0.1116           0.0000           
66        0.1748       0.5695            0.3757          0.0076          0.5680          0.2052        0.0072        0.2120         0.7972              0.1040                    0.0808           0.0000           
67        0.1756       0.5503            0.3669          0.0096          0.5664          0.2008        0.0084        0.2148         0.7984              0.1068                    0.0808           0.0000           
68        0.1660       0.5370            0.3644          0.0084          0.5684          0.1932        0.0064        0.2236         0.7972              0.0960                    0.1144           0.0000           
69        0.1736       0.5444            0.3724          0.0084          0.5608          0.1980        0.0084        0.2244         0.8092              0.1036                    0.0896           0.0000           
70        0.1792       0.5740            0.3958          0.0084          0.5568          0.1984        0.0056        0.2308         0.8016              0.0956                    0.0764           0.0000           
71        0.1728       0.5325            0.3678          0.0076          0.5456          0.2084        0.0064        0.2320         0.7900              0.1080                    0.1020           0.0000           
72        0.1720       0.5518            0.3690          0.0068          0.5468          0.2052        0.0056        0.2356         0.7880              0.0968                    0.0788           0.0000           
73        0.1760       0.5385            0.3724          0.0060          0.5560          0.1924        0.0084        0.2372         0.7836              0.1036                    0.0928           0.0000           
74        0.1768       0.5459            0.3721          0.0080          0.5528          0.1920        0.0068        0.2404         0.7964              0.1068                    0.0964           0.0004           
75        0.1852       0.5666            0.3823          0.0064          0.5300          0.2016        0.0072        0.2548         0.7896              0.1056                    0.0640           0.0012           
76        0.1816       0.5621            0.3873          0.0068          0.5304          0.1988        0.0048        0.2592         0.7908              0.1012                    0.0796           0.0008           
77        0.1780       0.5592            0.3727          0.0064          0.5452          0.1820        0.0076        0.2588         0.7856              0.1120                    0.0836           0.0000           
78        0.1732       0.5473            0.3749          0.0076          0.5392          0.1924        0.0060        0.2548         0.8072              0.1012                    0.0912           0.0000           
79        0.1716       0.5444            0.3693          0.0068          0.5284          0.1944        0.0048        0.2656         0.8004              0.1060                    0.0924           0.0000           
80        0.1756       0.5666            0.3833          0.0072          0.5276          0.1880        0.0044        0.2728         0.7912              0.1000                    0.0880           0.0000           
81        0.1784       0.5814            0.3921          0.0064          0.5128          0.1988        0.0036        0.2784         0.7888              0.0864                    0.0748           0.0000           
82        0.1716       0.5740            0.3860          0.0068          0.5180          0.2052        0.0036        0.2664         0.7864              0.1000                    0.0880           0.0000           
83        0.1696       0.5547            0.3770          0.0064          0.5304          0.1896        0.0056        0.2680         0.7956              0.0984                    0.1000           0.0000           
84        0.1704       0.5607            0.3833          0.0072          0.5216          0.1968        0.0048        0.2696         0.7924              0.0908                    0.0920           0.0000           
85        0.1792       0.5799            0.3941          0.0060          0.5096          0.2008        0.0072        0.2764         0.8000              0.1032                    0.0736           0.0000           
86        0.1748       0.5769            0.3977          0.0068          0.5108          0.1992        0.0064        0.2768         0.7900              0.0940                    0.0828           0.0000           
87        0.1744       0.5680            0.3944          0.0060          0.4996          0.2000        0.0052        0.2892         0.7912              0.0900                    0.0924           0.0000           
